,Name,Party,Position,Score,State,Tenure,YOB
0,"Abercrombie, Neil",D,Rep,-2521968600000.0,HI,7,1938
1,"Ackerman, Gary Leonard",D,Rep,-2523687100000.0,NY,8,1942
2,"Aderholt, Robert",R,Rep,-2781849600000.0,AL,11,1965
3,"Allen, Thomas H.",D,Rep,-2527743100000.0,ME,6,1945
4,"Andrews, Robert Ernest",D,Rep,-2568296100000.0,NJ,9,1957
5,"Archer, William Reynolds, Jr.",R,Rep,-246798200000.0,TX,2,1928
6,"Armey, Richard Keith",R,Rep,-359760600000.0,TX,3,1940
7,"Bachus, Spencer T., III",R,Rep,-1747801600000.0,AL,9,1947
8,"Baesler, Henry Scott (Scotty)",D,Rep,-228775700000.0,KY,1,1941
9,"Baker, Richard Hugh",R,Rep,-1681302600000.0,LA,6,1948
10,"Baldacci, John Elias",D,Rep,-1343728500000.0,ME,3,1955
11,"Ballenger, Cass",R,Rep,-1443486100000.0,NC,4,1926
12,"Barcia, James A.",D,Rep,-1367938100000.0,MI,3,1952
13,"Barr, Bob",R,Rep,-349778300000.0,GA,3,1948
14,"Barrett, Thomas M.",D,Rep,-316135700000.0,WI,3,1953
15,"Barrett, William E.",R,Rep,-270998200000.0,NE,2,1929
16,"Bartlett, Roscoe Gardner",R,Rep,-2705841600000.0,MD,8,1926
17,"Barton, Joe Linus",R,Rep,-2749033100000.0,TX,11,1949
18,"Bass, Charles Foster",R,Rep,-1658461100000.0,NH,6,1952
19,"Bateman, Herbert Harvell",R,Rep,-254100200000.0,VA,2,1928
20,"Becerra, Xavier",D,Rep,-2246352100000.0,CA,11,1958
21,"Bentsen, Kenneth E., Jr.",D,Rep,-1348280100000.0,TX,3,1959
22,"Bereuter, Douglas Kent",R,Rep,-1382448100000.0,NE,4,1939
23,"Berman, Howard Lawrence",D,Rep,-1385232800000.0,CA,8,1941
24,"Berry, Robert Marion",D,Rep,-2570470600000.0,AR,7,1942
25,"Bilbray, Brian P.",R,Rep,-315797200000.0,CA,6,1951
26,"Bilirakis, Michael",R,Rep,-2688218600000.0,FL,5,1930
27,"Bishop, Sanford Dixon, Jr.",D,Rep,-2522470100000.0,GA,11,1947
28,"Blagojevich, Rod R.",D,Rep,-1325741500000.0,IL,3,1956
29,"Bliley, Thomas Jerome, Jr.",R,Rep,-272198200000.0,VA,2,1932
30,"Blumenauer, Earl",D,Rep,-845098100000.0,OR,11,1948
31,"Blunt, Roy",R,Rep,-2714038900000.0,MO,7,1950
32,"Boehlert, Sherwood Louis",R,Rep,-1520360600000.0,NY,5,1936
33,"Boehner, John Andrew",R,Rep,-2238713600000.0,OH,9,1949
34,"Bonilla, Henry",R,Rep,-2670686600000.0,TX,5,1954
35,"Bonior, David Edward",D,Rep,-1273022500000.0,MI,3,1945
36,"Bono, Mary",R,Rep,-2711450800000.0,CA,8,1961
37,"Bono, Sonny",R,Rep,-229250200000.0,CA,1,1935
38,"Borski, Robert Anthony, Jr.",D,Rep,-316295100000.0,PA,3,1948
39,"Boswell, Leonard L.",D,Rep,-1433976100000.0,IA,8,1934
40,"Boucher, Frederick C.",D,Rep,-2509545600000.0,VA,7,1946
41,"Boyd, F. Allen, Jr.",D,Rep,-2571803100000.0,FL,7,1945
42,"Brady, Kevin Patrick",R,Rep,-2786491600000.0,TX,11,1955
43,"Brady, Robert A.",D,Rep,-1483121900000.0,PA,11,1945
44,"Brown, Corrine",D,Rep,-1307080100000.0,FL,10,1946
45,"Brown, George Edward, Jr.",D,Rep,-230338200000.0,CA,2,1920
46,"Brown, Sherrod",D,Rep,-1375336600000.0,OH,5,1952
47,"Bryant, Ed",R,Rep,-1388527600000.0,TN,3,1948
48,"Bunning, James Paul David",R,Rep,-229250200000.0,KY,1,1931
49,"Burr, Richard M.",R,Rep,-1222537100000.0,NC,4,1955
50,"Burton, Danny Lee",R,Rep,-1704780500000.0,IN,8,1938
51,"Buyer, Stephen Earle",R,Rep,-2705261800000.0,IN,7,1958
52,"Callahan, Herbert Leon (Sonny)",R,Rep,-355512600000.0,AL,3,1932
53,"Calvert, Ken",R,Rep,-2774673100000.0,CA,11,1953
54,"Camp, David Lee",R,Rep,-2785969100000.0,MI,9,1953
55,"Campbell, Thomas J.",R,Rep,-20513700000.0,CA,2,1952
56,"Canady, Charles Terrance",R,Rep,-272198200000.0,FL,2,1954
57,"Cannon, Christopher B.",R,Rep,-2756954600000.0,UT,6,1950
58,"Capps, Lois",D,Rep,-2525331600000.0,CA,10,1938
59,"Capps, Walter Holden",D,Rep,-227820200000.0,CA,1,1934
60,"Cardin, Benjamin Louis",D,Rep,-1419474100000.0,MD,5,1943
61,"Carson, Julia May",D,Rep,-2463796800000.0,IN,6,1938
62,"Castle, Michael Newbold",R,Rep,-1241578600000.0,DE,7,1939
63,"Chabot, Steve",R,Rep,-1507652100000.0,OH,10,1953
64,"Chambliss, Saxby",R,Rep,-1388527600000.0,GA,3,1943
65,"Chenoweth-hage, Helen P.",R,Rep,0.0,ID,2,1938
66,"Christensen, Donna Marie",D,Rep,0.0,VI,8,1945
67,"Christensen, Jon Lynn",R,Rep,-224270200000.0,NE,1,1963
68,"Clay, William Lacy, Sr.",D,Rep,-234405700000.0,MO,2,1931
69,"Clayton, Eva M.",D,Rep,-1297812600000.0,NC,3,1934
70,"Clement, Robert Nelson",D,Rep,-1348195100000.0,TN,3,1943
71,"Clyburn, James Enos",D,Rep,-2480357600000.0,SC,11,1940
72,"Coble, Howard",R,Rep,-2771820100000.0,NC,9,1931
73,"Coburn, Thomas Allen",R,Rep,-266450200000.0,OK,2,1948
74,"Collins, Michael Allen (Mac)",R,Rep,-1421526000000.0,GA,4,1944
75,"Combest, Larry Ed",R,Rep,-1387412600000.0,TX,4,1945
76,"Condit, Gary Adrian",D,Rep,-1302952800000.0,CA,3,1948
77,"Conyers, John, Jr.",D,Rep,-930846800000.0,MI,11,1929
78,"Cook, Merrill",R,Rep,-272198200000.0,UT,2,1946
79,"Cooksey, John",R,Rep,-1388318600000.0,LA,3,1941
80,"Costello, Jerry Francis",D,Rep,-2480634600000.0,IL,8,1949
81,"Cox, Charles Christopher",R,Rep,-1135504500000.0,CA,5,1952
82,"Coyne, William Joseph",D,Rep,-275180100000.0,PA,3,1936
83,"Cramer, Robert E. (Bud), Jr.",D,Rep,-2709811100000.0,AL,6,1947
84,"Crane, Philip Miller",R,Rep,-189036100000.0,IL,4,1930
85,"Crapo, Michael Dean",R,Rep,-229138200000.0,ID,1,1951
86,"Cubin, Barbara L.",R,Rep,-2649885800000.0,WY,6,1946
87,"Cummings, Elijah Eugene",D,Rep,-2526887600000.0,MD,11,1951
88,"Cunningham, Randall (Duke)",R,Rep,-2536639100000.0,CA,5,1941
89,"Danner, Patsy Ann (Pat)",D,Rep,-242981700000.0,MO,2,1934
90,"Davis, Danny K.",D,Rep,-1972474600000.0,IL,11,1941
91,"Davis, Jim",D,Rep,-2356663100000.0,FL,5,1957
92,"Davis, Thomas M., III",R,Rep,-272198200000.0,VA,6,1949
93,"Deal, John Nathan",R,Rep,-2755328600000.0,GA,7,1942
94,"Defazio, Peter Anthony",D,Rep,0.0,OR,11,1947
95,"Degette, Diana",D,Rep,0.0,CO,11,1957
96,"Delahunt, Bill",D,Rep,-991848600000.0,MA,7,1941
97,"Delauro, Rosa L.",D,Rep,0.0,CT,11,1943
98,"Delay, Thomas Dale",R,Rep,0.0,TX,5,1947
99,"Dellums, Ronald V.",D,Rep,-1658700000.0,CA,1,1935
100,"Deutsch, Peter R.",D,Rep,-273189100000.0,FL,4,1957
101,"Diaz-balart, Lincoln",R,Rep,0.0,FL,7,1954
102,"Dickey, Jay W., Jr.",R,Rep,-270886200000.0,AR,2,1939
103,"Dicks, Norman DeValois",D,Rep,-2470436100000.0,WA,8,1940
104,"Dingell, John David, Jr.",D,Rep,-2251335100000.0,MI,9,1926
105,"Dixon, Julian Carey",D,Rep,-247523700000.0,CA,2,1934
106,"Doggett, Lloyd Alton, II",D,Rep,-1448891100000.0,TX,11,1946
107,"Dooley, Calvin M.",D,Rep,-1391336100000.0,CA,4,1954
108,"Doolittle, John Taylor",R,Rep,-1725143600000.0,CA,6,1950
109,"Doyle, Michael F.",D,Rep,-2506739100000.0,PA,11,1953
110,"Dreier, David Timothy",R,Rep,-1679638600000.0,CA,8,1952
111,"Duncan, John J., Jr.",R,Rep,-1184708100000.0,TN,11,1947
112,"Dunn, Jennifer Blackburn",R,Rep,-417248500000.0,WA,4,1941
113,"Edwards, Thomas Chester (Chet)",D,Rep,-2580203100000.0,TX,7,1951
114,"Ehlers, Vernon James",R,Rep,-2760198100000.0,MI,7,1934
115,"Ehrlich, Robert L., Jr.",R,Rep,-1393069600000.0,MD,3,1957
116,"Emerson, Jo Ann",R,Rep,-2262913100000.0,MO,9,1950
117,"Engel, Eliot Lance",D,Rep,-2526998600000.0,NY,11,1947
118,"English, Philip Sheridan",R,Rep,-2760428600000.0,PA,6,1956
119,"Ensign, John Eric",R,Rep,-229250200000.0,NV,1,1958
120,"Eshoo, Anna Georges",D,Rep,-1486050100000.0,CA,11,1942
121,"Etheridge, Bobby R.",D,Rep,-2523157100000.0,NC,7,1941
122,"Evans, Lane Allen",D,Rep,-1961747000000.0,IL,5,1951
123,"Everett, Robert Terry",R,Rep,-2743298600000.0,AL,6,1937
124,"Ewing, Thomas W.",R,Rep,-50173200000.0,IL,2,1935
125,"Farr, Sam",D,Rep,-2527293100000.0,CA,10,1941
126,"Fattah, Chaka",D,Rep,-1474465600000.0,PA,10,1956
127,"Fawell, Harris W.",R,Rep,-229250200000.0,IL,1,1929
128,"Fazio, Victor Herbert, Jr.",D,Rep,-7113200000.0,CA,1,1942
129,"Filner, Bob",D,Rep,-1979054600000.0,CA,8,1942
130,"Flake, Floyd Harold",D,Rep,-1658700000.0,NY,1,1945
131,"Foglietta, Thomas Michael",D,Rep,-1658700000.0,PA,1,1928
132,"Foley, Mark A.",R,Rep,-2696265600000.0,FL,5,1954
133,"Forbes, Michael Patrick",R,Rep,-229975700000.0,NY,2,1952
134,"Ford, Harold, Jr.",D,Rep,-2436111600000.0,TN,5,1970
135,"Fossella, Vito John",R,Rep,-1684994900000.0,NY,6,1965
136,"Fowler, Tillie Kidd",R,Rep,-266344200000.0,FL,2,1942
137,"Fox, Jon D.",R,Rep,-229250200000.0,PA,1,1947
138,"Frank, Barney",D,Rep,-701286100000.0,MA,8,1940
139,"Franks, Robert Douglas",R,Rep,-259198200000.0,NJ,2,1951
140,"Frelinghuysen, Rodney P.",R,Rep,-1753248600000.0,NJ,11,1946
141,"Frost, Jonas Martin",D,Rep,-1400306100000.0,TX,4,1942
142,"Furse, Elizabeth",D,Rep,-228775700000.0,OR,1,1936
143,"Gallegly, Elton W.",R,Rep,-2749338600000.0,CA,8,1944
144,"Ganske, Greg",R,Rep,-1368327600000.0,IA,3,1949
145,"Gejdenson, Samuel",D,Rep,-247523700000.0,CT,2,1948
146,"Gekas, George William",R,Rep,-1393154600000.0,PA,3,1930
147,"Gephardt, Richard Andrew",D,Rep,-304298600000.0,MO,4,1941
148,"Gibbons, James A.",R,Rep,-1656206600000.0,NV,5,1944
149,"Gilchrest, Wayne Thomas",R,Rep,-2723848600000.0,MD,6,1946
150,"Gillmor, Paul Eugene",R,Rep,-2674739600000.0,OH,6,1939
151,"Gilman, Benjamin Arthur",R,Rep,-1393154600000.0,NY,3,1922
152,"Gingrich, Newton Leroy",R,Rep,-1430000000.0,US,1,1943
153,"González, Henry B.",D,Rep,0.0,TX,1,1916
154,"Goode, Virgil H., Jr.",D,Rep,-252975700000.0,VA,6,1946
155,"Goodlatte, Robert William",R,Rep,-2758185500000.0,VA,11,1952
156,"Goodling, William Franklin",R,Rep,-270998200000.0,PA,2,1927
157,"Gordon, Barton Jennings",D,Rep,-2659511100000.0,TN,7,1949
158,"Goss, Porter J.",R,Rep,-415948100000.0,FL,4,1938
159,"Graham, Lindsey O.",R,Rep,-1165387600000.0,SC,3,1955
160,"Granger, Kay",R,Rep,-2774093600000.0,TX,11,1943
161,"Green, Raymond Eugene (Gene)",D,Rep,-1350933400000.0,TX,11,1947
162,"Greenwood, James Charles",R,Rep,-1449104100000.0,PA,4,1951
163,"Gutiérrez, Luis V.",D,Rep,0.0,IL,11,1953
164,"Gutknecht, Gilbert W.",R,Rep,-2681036100000.0,MN,5,1951
165,"Hall, Ralph Moody",D,Rep,-1408637600000.0,TX,9,1923
166,"Hall, Tony Patrick",D,Rep,-1124957100000.0,OH,3,1942
167,"Hamilton, Lee Herbert",D,Rep,-228663700000.0,IN,1,1931
168,"Hansen, James Vear",R,Rep,-1388527600000.0,UT,3,1932
169,"Harman, Jane L.",D,Rep,-1158088600000.0,CA,7,1945
170,"Hastert, John Dennis",R,Rep,-948367200000.0,IL,6,1942
171,"Hastings, Alcee Lamar",D,Rep,-1981168000000.0,FL,11,1936
172,"Hastings, Richard Norman (Doc)",R,Rep,-2154061800000.0,WA,9,1941
173,"Hayworth, John D., Jr.",R,Rep,-2469495600000.0,AZ,5,1958
174,"Hefley, Joel M.",R,Rep,-1593816100000.0,CO,5,1935
175,"Hefner, Willie Gathrel (Bill)",D,Rep,-228434000000.0,NC,1,1930
176,"Herger, Walter William (Wally)",R,Rep,-2533674900000.0,CA,8,1945
